tickers,volatility,drawdown,beta,market_cap,pe_ratio,dividend_yield,profit_margin,return_on_equity,debt_to_equity
KO,0.008412655539231671,0.0402899701907955,0.999854430379747,299017633792,24.634752,2.95,0.25887,0.42369998,163.826
CTSH,0.015773480623789703,0.08236608448805097,0.952,37695275008,16.098948,1.61,0.11732,0.16605,7.913
COIN,0.04700922453396792,0.4257706328250003,3.712,101215944704,74.55629,2.294692874692875,0.22028999,0.15841,43.892
CL,0.01124009102736076,0.06611461777162794,0.371,71815364608,25.1034,2.34,0.14518,4.51259,1128.104
CMCSA,0.01162276841495779,0.05697779581517158,0.947,133081391104,8.779138,3.69,0.12714,0.18049,113.542
CAG,0.017414390301372415,0.16182390270117902,0.107,9260818432,8.081958,7.13,0.09924,0.13214,93.036
COP,0.017483399466345095,0.082095700903811,0.623,120585396224,12.106463,3.28,0.16149999,0.1666,36.457
ED,0.009703402551722903,0.056848750334373116,0.242,36784418816,18.871534,3.32,0.11988,0.08331,110.23
STZ,0.018467563432829542,0.09137371044642596,0.664,30876450816,42.355587151991614,2.32,-0.043959998,-0.0442,153.569
CEG,0.02080707417191589,0.10368412775087904,1.141,101528297472,34.170887,0.48,0.123330005,0.23974001,62.682
COO,0.014053398708550855,0.10352014508383481,0.987,14582404096,35.309177,2.294692874692875,0.10386,0.05148,34.502
CPRT,0.011189765376828278,0.09128714079904084,1.071,44570914816,30.526491,2.294692874692875,0.32209,0.18441999,1.148
GLW,0.01323716401560783,0.11254251179491576,1.097,47868162048,107.480774,2.01,0.03339,0.048660003,73.266
CPAY,0.023423538924338176,0.10178538953787118,0.957,23371382784,23.265966,2.294692874692875,0.25147,0.30040002,235.922
CTVA,0.010323980530413624,0.06548240238466056,0.755,50159960064,44.29518,0.92,0.067719996,0.04659,16.647
CSGP,0.01658252251271426,0.14578638334516716,0.89,39298777088,358.26926,2.294692874692875,0.04168,0.01474,13.085
COST,0.008359574824344745,0.06544678989390791,0.961,416309575680,53.337498,0.55,0.02918,0.3208,30.813
